occ2010,metric,value,z,pctile
2850,dv_rating_beta,0.877136752136752,2.36794782397137,0.984304932735426
2860,dv_rating_beta,0.88,2.38048492516897,0.986547085201794
2900,dv_rating_beta,0.45350962570999,0.513041644791849,0.663677130044843
2910,dv_rating_beta,0.385416666666667,0.214887814196878,0.556053811659193
2920,dv_rating_beta,0.480282002318762,0.63026795940916,0.701793721973094
3000,dv_rating_beta,0.454545454545455,0.517577155356721,0.667040358744395
3010,dv_rating_beta,0.241844347426806,-0.413762160046907,0.401345291479821
3030,dv_rating_beta,0.548780487804878,0.93019743999827,0.820627802690583
3040,dv_rating_beta,0.3,-0.15912011145542,0.480941704035875
3050,dv_rating_beta,0.428571428571428,0.40384652227905,0.626681614349776
3060,dv_rating_beta,0.430674609571787,0.413055572384984,0.632286995515695
3110,dv_rating_beta,0.270833333333333,-0.286830134848888,0.439461883408072
3120,dv_rating_beta,0.285714285714286,-0.221671959648139,0.4652466367713
3140,dv_rating_beta,0.454545454545455,0.517577155356721,0.667040358744395
3150,dv_rating_beta,0.289015151515152,-0.207218691694518,0.473094170403588
3160,dv_rating_beta,0.191489361702128,-0.634247979642668,0.352017937219731
3200,dv_rating_beta,0.280487804878049,-0.24455678215767,0.455156950672646
3210,dv_rating_beta,0.318181818181818,-0.0795086683010506,0.497757847533632
3220,dv_rating_beta,0.202380952380952,-0.586557740772333,0.358744394618834
3230,dv_rating_beta,0.451219512195122,0.503014086487019,0.659192825112108
3245,dv_rating_beta,0.26,-0.334265286395033,0.413677130044843
3250,dv_rating_beta,0.27027027027027,-0.289295579315943,0.437219730941704
3255,dv_rating_beta,0.380190007037298,0.192002208818487,0.553811659192825
3256,dv_rating_beta,0.166666666666667,-0.74293736125413,0.316143497757848
3258,dv_rating_beta,0.435862691960253,0.435772262323211,0.641255605381166
3260,dv_rating_beta,0.331530448717949,-0.0210599625396797,0.508968609865471
3310,dv_rating_beta,0.1875,-0.651715915973082,0.34304932735426
3320,dv_rating_beta,0.335959963201419,-0.00166476031205634,0.522421524663677
3400,dv_rating_beta,0.181089743589744,-0.679784052982635,0.322869955156951
3420,dv_rating_beta,0.233273313486785,-0.451291541017864,0.387892376681614
3500,dv_rating_beta,0.25,-0.378051580129936,0.40695067264574
3510,dv_rating_beta,0.617647058823529,1.23173863071209,0.894618834080718
3520,dv_rating_beta,0.285714285714286,-0.221671959648139,0.4652466367713
3535,dv_rating_beta,0.406410219226428,0.30681080008896,0.598654708520179
3540,dv_rating_beta,0.362801381502111,0.115863862285496,0.542600896860987
3600,dv_rating_beta,0.075656943523388,-1.14143520828251,0.143497757847534
3610,dv_rating_beta,0.264918602127904,-0.312728550641279,0.423766816143498
3620,dv_rating_beta,0.161944094584537,-0.76361575409137,0.300448430493274
3630,dv_rating_beta,0.074074074074074,-1.14836600694768,0.136771300448431
3640,dv_rating_beta,0.266666666666667,-0.305074423905098,0.430493273542601
3645,dv_rating_beta,0.358974358974359,0.0991067490324708,0.540358744394619
3646,dv_rating_beta,0.875,2.35859177830152,0.982062780269058
3647,dv_rating_beta,0.38,0.191170238423806,0.550448430493274
3648,dv_rating_beta,0.222222222222222,-0.499680173838001,0.37780269058296
3649,dv_rating_beta,0.182926829268293,-0.671740135668922,0.329596412556054
3655,dv_rating_beta,0.316963615538111,-0.0848427261796495,0.495515695067265
3700,dv_rating_beta,0.282608695652174,-0.235270187516121,0.461883408071749
3710,dv_rating_beta,0.328947368421053,-0.032370313801753,0.506726457399103
3720,dv_rating_beta,0.415094339622642,0.344835344738749,0.605381165919282
3740,dv_rating_beta,0.140350877192982,-0.858164450030191,0.266816143497758
3750,dv_rating_beta,0.276946501211207,-0.260062838413752,0.448430493273543
3800,dv_rating_beta,0.148538961038961,-0.822311865589588,0.286995515695067
3820,dv_rating_beta,0.397410759175465,0.267405499964263,0.587443946188341
3840,dv_rating_beta,0.302301864801865,-0.149041098620171,0.484304932735426
